Ladder	SD of Ladder	Positive affect	Negative affect	Social support	Freedom	Corruption	Generosity	Log of GDP per capita	Healthy life expectancy
67	53	130	111	130	114	55	58	110	114
68	64	96	9	40	107	127	101	45	89
69	119	42	116	75	15	49	115	97	99
70	100	148	92	57	124	118	84	71	48
71	45	133	67	65	128	148	86	109	86
72	115	85	137	73	79	31	87	63	96
73	84	143	118	60	139	77	76	61	44
74	50	120	54	113	86	35	72	123	92
75	29	122	101	79	118	139	81	50	32
77	155	66	77	55	43	52	93	69	80
78	80	116	79	92	137	145	32	82	50
79	58	154	121	61	140	50	98	44	69
80	12	25	23	97	36	137	27	40	59
81	22	149	36	33	131	37	103	58	76
82	87	102	94	102	150	123	152	46	21
83	48	95	17	10	112	119	38	80	97
84	67	140	89	74	105	125	55	75	52
85	130	61	55	111	75	114	59	107	145
86	46	58	4	45	38	138	36	120	91
88	56	113	106	101	149	46	128	72	78
89	101	110	91	139	76	84	154	98	79
90	24	134	20	104	101	22	146	65	82
91	60	150	61	89	136	133	63	73	66
92	108	9	104	94	48	129	2	83	98
94	27	121	27	64	23	86	97	105	49
95	6	37	98	68	59	25	13	95	104
96	131	106	129	129	90	120	91	121	141
97	47	117	13	18	115	147	112	56	65
98	129	92	72	132	91	117	52	114	121
99	134	88	130	137	100	62	114	118	147
100	128	137	134	87	67	65	46	127	95
102	149	118	148	153	103	75	116	128	133
103	152	124	136	138	92	60	140	111	116
104	105	111	144	95	119	103	143	59	108
105	59	5	112	120	22	27	34	102	112
106	124	40	80	63	85	102	89	77	123
107	126	90	108	133	87	134	60	81	40
108	141	77	135	49	145	110	139	78	71
109	135	27	142	109	2	94	61	116	102
111	44	68	60	106	121	88	130	126	109
113	106	75	59	70	82	98	142	89	122
114	144	79	141	140	111	51	135	148	138
115	92	115	117	116	127	47	125	137	136
116	82	126	145	117	123	93	129	91	64
117	109	109	150	134	117	44	28	54	77
118	146	82	143	136	109	70	94	130	137
119	51	141	43	147	104	28	153	87	84
120	142	29	109	125	89	26	64	139	130
121	118	59	46	123	72	105	26	122	106
122	68	94	58	99	151	67	148	117	120
123	154	108	131	122	46	40	121	146	134
124	79	147	132	121	143	101	144	84	67
125	52	145	68	126	27	36	107	119	90
126	147	151	154	124	130	66	73	64	107
127	78	125	95	107	125	106	127	149	140
128	96	48	122	112	110	107	138	129	142
129	153	139	149	135	116	112	79	145	146
130	91	32	81	80	55	111	35	79	54
131	70	45	86	96	29	24	1	106	110
132	139	136	151	141	142	80	106	133	148
133	69	131	44	56	141	143	66	94	87
134	38	100	74	119	106	53	99	135	115
136	148	91	139	114	99	95	74	136	127
137	66	146	124	118	129	89	132	85	101
138	145	84	128	115	73	69	53	115	131
139	103	123	147	149	120	72	131	142	132
140	41	93	115	142	41	73	65	103	105
141	156	103	146	127	94	126	110	150	126
142	143	67	114	143	148	81	62	143	117
143	77	46	96	128	146	116	136	144	111
144	150	72	64	98	97	59	151	124	149
145	138	98	126	152	135	23	149	151	135
146	123	63	34	110	96	63	141	131	129
147	111	142	119	146	152	48	20	138	125
148	125	87	65	105	60	54	150	66	113
150	132	129	110	150	65	64	109	147	119
151	85	153	75	100	147	83	155	141	124
152	63	54	102	144	21	2	90	132	103
153	122	78	50	131	78	34	49	125	118
154	25	152	133	151	155	136	137	134	139
155	117	132	153	155	133	122	113	152	150
156	140	127	152	148	154	61	85	140	143
